Concatenate,thermo_label,thermo_confidence,color_label,color_confidence,model_time,remarks,count,result,wrong_color,wrong_sun.shade,non_detected,correct,wrong_both,FP,FN,HARD_TO_DETECT,HARD_TO_DETERMINE_SHADE,HARD_TO_DETERMINE_COLOR,true_negative
H1E IMAG0125,Sun,99.98070598,Blue,99.89109039,11:07:34,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0126,Sun,99.97443557,Blue,99.81945157,11:07:36,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0127,Sun,99.86384511,Blue,78.31254005,11:08:20,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0128,Sun,99.77420568,Blue,98.06982875,11:08:22,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0129,Sun,99.93209839,Blue,96.37107849,11:08:22,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0130 (2),Shade,99.99140501,Blue,93.77659559,15:19:14,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0131 (2),Shade,99.97692704,Blue,68.23224425,15:19:16,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0132 (2),Shade,99.99731779,Blue,79.88769412,15:19:16,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0133 (2),Shade,99.99842644,Blue,59.62507129,15:20:40,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0134 (2),Shade,99.99560118,White,84.82465744,15:20:40,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0135 (2),Shade,99.99680519,White,80.09300828,15:20:42,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0136 (2),Sun,99.98930693,White,99.98522997,15:21:20,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0137 (2),Sun,99.96621609,White,99.97431636,15:21:20,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0138 (2),Sun,99.95720983,White,99.97972846,15:21:20,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0139,Sun,99.96079803,White,88.39467764,11:12:08,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0139 (2),Sun,99.9856472,White,99.99183416,15:22:54,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0140,Sun,99.96967316,White,90.62359929,11:12:10,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0140 (2),Sun,99.99446869,White,99.99083281,15:22:56,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0141,Sun,99.95632768,White,94.39467192,11:12:10,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0141 (2),Sun,99.99200106,White,99.99223948,15:22:56,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0142,Sun,99.94828701,White,97.77873755,11:12:48,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0142 (2),Sun,99.977988,White,99.99448061,15:24:40,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0143,Sun,99.91338849,White,98.73380661,11:12:48,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0143 (2),Sun,99.98062253,White,99.98720884,15:24:40,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0144,Sun,99.91070628,White,84.22335982,11:12:48,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0144 (2),Sun,99.98673201,White,99.97201562,15:24:42,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0145,Sun,99.99234676,Blue,95.31373978,11:13:28,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0145 (2),Sun,99.97776151,White,99.98936653,15:25:26,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0146,Sun,99.98666048,Blue,96.17294073,11:13:30,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0146 (2),Sun,99.9856472,White,99.97983575,15:25:26,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0147,Sun,99.9904871,Blue,97.87389636,11:13:30,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0147 (2),Sun,99.97298121,White,99.99195337,15:25:26,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0148,Sun,99.99499321,Blue,99.94757771,11:14:08,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0148 (2),Sun,99.97927547,White,99.94493127,15:26:04,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0149,Sun,99.98537302,Blue,99.83769655,11:14:10,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0149 (2),Sun,99.97474551,White,99.98233914,15:26:04,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0150,Sun,99.99347925,Blue,99.01764989,11:14:10,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0150 (2),Sun,99.96312857,White,99.97099042,15:26:06,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0151,Sun,99.99763966,Blue,99.95256662,11:14:50,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0151 (2),Sun,99.9325633,White,99.33585525,15:27:38,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0152,Sun,99.99707937,Blue,99.74262118,11:14:50,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0152 (2),Sun,99.76648092,White,99.91193414,15:27:38,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0153,Sun,99.99656677,Blue,99.78479147,11:14:52,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0153 (2),Sun,99.64076877,White,99.91520643,15:27:40,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0154,Sun,99.99809265,Blue,99.3040204,11:15:34,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0154 (2),Sun,99.25965071,White,99.9540925,15:28:48,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0155,Sun,99.99785423,Blue,98.97764921,11:15:34,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0155 (2),Sun,99.76958632,White,99.80966449,15:28:48,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0156,Sun,99.99690056,Blue,94.92580891,11:15:36,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0156 (2),Sun,99.70366955,White,99.85302687,15:28:48,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0157,Sun,99.93552566,Blue,99.01490211,11:16:14,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0157 (2),Sun,99.99520779,White,99.97976422,15:30:42,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0158,Sun,99.97809529,Blue,84.81219411,11:16:14,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0158 (2),Sun,99.98794794,White,99.82033968,15:30:42,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0159,Sun,99.98739958,Blue,96.44310474,11:16:14,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0159 (2),Sun,99.98804331,White,99.92842078,15:30:42,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0160,Sun,99.91924167,White,42.0203954,11:17:12,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0160 (2),Sun,99.94112253,White,99.86195564,15:33:18,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0161,Sun,99.82245564,Blue,92.83260703,11:17:12,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0161 (2),Sun,99.95763898,White,99.98472929,15:33:18,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0162,Sun,99.61308241,Blue,66.74289703,11:17:14,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0162 (2),Sun,99.88874793,White,99.9643445,15:33:20,,1,V,0,0,0,1,0,0,0,0,0,0,0
H1E IMAG0163,Sun,99.83676076,White,98.91068339,11:17:52,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0164,Sun,99.91652966,White,89.24923539,11:17:52,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0165,Sun,99.77589846,White,93.39691401,11:17:52,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0166,Sun,99.89401698,White,79.54073548,11:18:36,,1,XC,1,0,0,0,0,0,0,0,0,0,0
H1E IMAG0166 (2),Sun,88.88405561,White,79.94123101,15:35:36,,1,FP,0,0,0,0,0,1,0,0,0,0,0
H1E IMAG0167,Sun,99.81595874,White,95.9487021,11:18:36,,1,XC,1,0,0,0,0,0,0,0,0,0,0
